Type,File,Line,CLJ,CQL,CNL,CLJ_Code,CQL_Column,CQL_Code,CNL_Column,CNL_Code
preIncr,difftool.c,74,+,+,+,"parse_oid_hex(++p, oid1, (const char**)&p)",20.0,"	if (parse_oid_hex(++p, oid1, (const char **)&p))",21.0,p
preIncr,difftool.c,78,+,+,+,"parse_oid_hex(++p, oid2, (const char**)&p)",20.0,"	if (parse_oid_hex(++p, oid2, (const char **)&p))",21.0,p
preIncr,difftool.c,82,+,+,+,*++p,13.0,	*status = *++p;,14.0,p
preIncr,dir-iterator.c,156,+,+,+,"return --iter->levels_nr;
",9.0,	return --iter->levels_nr;,10.0,iter -> levels_nr
preIncr,dir.c,131,+,+,+,strlen(++pattern),28.0,		int pattern_len = strlen(++pattern);,29.0,pattern
preIncr,entry.c,234,+,+,+,"display_progress(progress, ++processed_paths)",33.0,"					display_progress(progress, ++processed_paths);",34.0,processed_paths
preIncr,ewah_bitmap.c,231,+,+,+,self->buffer[--self->buffer_size],16.0,		self->buffer[--self->buffer_size] = 0;,17.0,self -> buffer_size
preIncr,ewah_bitmap.c,249,-,-,+,,,,26.0,k
preIncr,ewah_bitmap.c,261,-,-,+,,,,36.0,c
preIncr,ewah_bitmap.c,352,+,+,+,++it->pointer < it->buffer_size,7.0,		if (++it->pointer < it->buffer_size),8.0,it -> pointer
preIncr,ewah_bitmap.c,446,+,+,+,bitmap_pool[--bitmap_pool_size],22.0,		return bitmap_pool[--bitmap_pool_size];,23.0,bitmap_pool_size
preIncr,ewah_io.c,50,-,-,+,,,,41.0,buffer
preIncr,ewah_io.c,60,-,-,+,,,,37.0,buffer
preIncr,fast-export.c,239,+,+,+,"mark_object(object, ++last_idnum)",22.0,"	mark_object(object, ++last_idnum);",23.0,last_idnum
preIncr,fast-export.c,271,+,+,+,++counter % progress,7.0,	if ((++counter % progress) == 0),8.0,counter
preIncr,fast-import.c,374,-,+,+,,4.0,"			++lu, b->last_commit, b->name);",5.0,lu
preIncr,fast-import.c,1048,+,+,+,hdr[--pos],8.0,			hdr[--pos] = 128 | (--ofs & 127);,25.0,ofs
preIncr,fetch-pack.c,473,+,+,+,flush_at <= ++count,19.0,		if (flush_at <= ++count) {,20.0,count
preIncr,fetch-pack.c,1306,+,+,+,++haves_added >= *haves_to_send,7.0,		if (++haves_added >= *haves_to_send),8.0,haves_added
preIncr,files-backend.c,683,+,+,+,--attempts_remaining > 0,7.0,		if (--attempts_remaining > 0),8.0,attempts_remaining
preIncr,files-backend.c,691,+,-,-,--attempts_remaining > 0,,,,
preIncr,files-backend.c,697,+,+,+,--attempts_remaining > 0,26.0,		if (myerr == ENOENT && --attempts_remaining > 0) {,27.0,attempts_remaining
preIncr,files-backend.c,705,+,-,-,--attempts_remaining > 0,,,,
preIncr,files-backend.c,1986,+,+,+,*(--scan),25.0,	while (bob < scan && *(--scan) != '\n'),26.0,scan
preIncr,files-backend.c,1997,+,-,-,*(--scan),,,,
preIncr,fsck.c,200,+,+,+,"display_progress(progress, ++nr)",30.0,"		display_progress(progress, ++nr);",31.0,nr
preIncr,fsck.c,401,+,+,+,name[--len],33.0,				generation += power * (name[--len] - '0');,34.0,len
preIncr,fsck.c,484,+,+,+,stack->names[--stack->nr],34.0,	return stack->nr ? stack->names[--stack->nr] : NULL;,35.0,stack -> nr
preIncr,fsck.c,892,+,+,+,"display_progress(progress, ++pack_count)",30.0,"		display_progress(progress, ++pack_count);",31.0,pack_count
preIncr,gc.c,255,+,+,+,++num_loose > auto_threshold,7.0,		if (++num_loose > auto_threshold) {,8.0,num_loose
preIncr,gc.c,1019,-,+,+,,6.0,	if (++(*count) >= loose_object_auto_limit),7.0,( * count )
preIncr,gc.c,1056,-,+,+,,9.0,	return ++(d->count) > d->batch_size;,10.0,( d -> count )
preIncr,git-credential-libsecret.c,331,+,-,+,buf[--line_len],,,9.0,line_len
preIncr,git-credential-wincred.c,271,+,-,+,buf[--len],,,9.0,len
preIncr,git-credential-wincred.c,275,+,-,+,buf[--len],,,9.0,len
preIncr,grep.c,150,+,+,+,++len <= p->patternlen,11.0,			while (++len <= p->patternlen) {,12.0,len
preIncr,grep.c,151,+,+,+,*(--cp),11.0,				if (*(--cp) == '\n') {,12.0,cp
preIncr,grep.c,835,+,+,+,"append_grep_pat(grep_opt, sb.buf, sb.len, arg, ++lno, GREP_PATTERN)",50.0,"		append_grep_pat(grep_opt, sb.buf, sb.len, arg, ++lno,",51.0,lno
preIncr,grep.c,924,+,+,+,bol < --eol,15.0,	while (bol < --eol) {,16.0,eol
preIncr,grep.c,927,+,+,+,*eol_p = ++eol,12.0,		*eol_p = ++eol;,13.0,eol
preIncr,grep.c,1352,+,+,+, = --bol,21.0,		const char *eol = --bol;,22.0,bol
preIncr,grep.c,1392,+,+,+, = --bol,21.0,		const char *eol = --bol;,22.0,bol
preIncr,http.c,2199,+,+,+,ret == HTTP_REAUTH && --i,31.0,	while (ret == HTTP_REAUTH && --i) {,32.0,i
preIncr,imap-send.c,497,+,+,+,cmd->tag = ++imap->nexttag,13.0,	cmd->tag = ++imap->nexttag;,14.0,imap -> nexttag
preIncr,index-pack.c,1820,+,+,+,argv[++i],27.0,				progress_title = argv[++i];,28.0,i
preIncr,index-pack.c,1828,+,+,+,argv[++i],23.0,				index_name = argv[++i];,24.0,i
preIncr,inet_pton.c,72,+,-,+,++octets > 4,,,38.0,octets
preIncr,inet_pton.c,79,+,-,+,*++tp,,,27.0,tp
preIncr,inet_pton.c,120,+,-,+,*++src,,,23.0,src
preIncr,kwset.c,185,+,+,+,*--text,58.0,      label = kwset->trans ? kwset->trans[U(*--text)] : *--text;,47.0,text
preIncr,kwset.c,233,+,+,+,dirs[--depth],13.0,	  if (dirs[--depth] == L),14.0,depth
preIncr,kwset.c,249,+,+,+,dirs[depth] == L && --links[depth]->balance,39.0,	  if (depth && ((dirs[depth] == L && --links[depth]->balance),40.0,links [ depth ] -> balance
preIncr,kwset.c,250,+,+,+,dirs[depth] == R && ++links[depth]->balance,28.0,			|| (dirs[depth] == R && ++links[depth]->balance))),29.0,links [ depth ] -> balance
preIncr,kwset.c,686,+,+,+,*--beg,36.0,	  c = trans ? trans[U(*--beg)] : *--beg;,26.0,beg
preIncr,kwset.c,737,+,+,+,*--beg,36.0,	  c = trans ? trans[U(*--beg)] : *--beg;,26.0,beg
preIncr,line-range.c,150,+,+,+,*--bol,26.0,		while (bol > start && *--bol != '\n'),27.0,bol
preIncr,linear-assignment.c,118,+,+,+,free_row[--k],15.0,					free_row[--k] = i0;,16.0,k
preIncr,list-objects-filter.c,452,+,+,+,filter_data->array_frame[--filter_data->nr],37.0,		frame = &filter_data->array_frame[--filter_data->nr];,38.0,filter_data -> nr
preIncr,log.c,1441,+,+,+,++z == m,6.0,	if (++z == m),7.0,z
preIncr,log.c,2364,+,+,+,0 <= --nr,14.0,	while (0 <= --nr) {,15.0,nr
preIncr,ls-files.c,659,+,+,+,"add_pattern(exclude_list.items[i].string, """", 0, pl, --exclude_args)",56.0,"		add_pattern(exclude_list.items[i].string, """", 0, pl, --exclude_args);",57.0,exclude_args
preIncr,mailinfo.c,81,+,+,+,!--depth,10.0,				if (!--depth),11.0,depth
preIncr,mailinfo.c,258,+,-,+,++mi->content_top >= &mi->content[MAX_BOUNDARIES],,,8.0,mi -> content_top
preIncr,mailinfo.c,263,+,+,+,++mi->content_top >= &mi->content[MAX_BOUNDARIES],7.0,		if (++mi->content_top >= &mi->content[MAX_BOUNDARIES]) {,8.0,mi -> content_top
preIncr,mailinfo.c,944,+,-,+,--mi->content_top < mi->content,,,8.0,mi -> content_top
preIncr,mailinfo.c,962,+,+,+,--mi->content_top < mi->content,7.0,		if (--mi->content_top < mi->content) {,8.0,mi -> content_top
preIncr,mailmap.c,268,+,+,+,0 <= --i,14.0,	while (0 <= --i && i < map->nr) {,15.0,i
preIncr,mailsplit.c,27,+,+,+,*--colon,8.0,		if (*--colon == ':'),9.0,colon
preIncr,mailsplit.c,200,+,+,+,"xstrfmt(""%s/%0*d"", dir, nr_prec, ++skip)",43.0,"		name = xstrfmt(""%s/%0*d"", dir, nr_prec, ++skip);",44.0,skip
preIncr,mailsplit.c,259,+,+,+,"xstrfmt(""%s/%0*d"", dir, nr_prec, ++skip)",49.0,"		char *name = xstrfmt(""%s/%0*d"", dir, nr_prec, ++skip);",50.0,skip
preIncr,malloc.c.h,4883,+,-,-,--fm->release_checks == 0,,,,
preIncr,merge-index.c,34,+,+,+,++pos < the_repository->index->cache_nr,11.0,	} while (++pos < the_repository->index->cache_nr);,12.0,pos
preIncr,merge-ort.c,823,+,+,+,buf.buf[++i_sb],13.0,				buf.buf[++i_sb] = ' ';,14.0,i_sb
preIncr,merge-recursive.c,71,-,+,+,,19.0,	o.branch1 = argv[++i];,20.0,i
preIncr,merge-recursive.c,72,-,+,+,,19.0,	o.branch2 = argv[++i];,20.0,i
preIncr,merge-recursive.c,2060,+,+,+,*--end_of_new,10.0,	while (*--end_of_new == *--end_of_old &&,11.0,end_of_new
preIncr,merge-recursive.c,2086,+,+,+,--end_of_old - old_path,33.0,"		*old_dir = xstrndup(old_path, --end_of_old - old_path);",34.0,end_of_old
preIncr,merge-recursive.c,2109,+,+,+,"strchr(++end_of_old, '/')",22.0,"	end_of_old = strchr(++end_of_old, '/');",23.0,end_of_old
preIncr,merge-recursive.c,2110,+,+,+,"strchr(++end_of_new, '/')",22.0,"	end_of_new = strchr(++end_of_new, '/');",23.0,end_of_new
preIncr,merge.c,148,+,+,+,*++ctx->argv,10.0,		arg = *++ctx->argv;,11.0,ctx -> argv
preIncr,merge.c,535,+,+,+,*++ptr,12.0,			while (*++ptr && isdigit(*ptr)) {,13.0,ptr
preIncr,midx-write.c,110,+,+,+,"display_progress(ctx->progress, ++ctx->pack_paths_checked)",35.0,"		display_progress(ctx->progress, ++ctx->pack_paths_checked);",36.0,ctx -> pack_paths_checked
preIncr,mingw.c,786,+,-,+,wfilename[--n],,,26.0,n
preIncr,mingw.c,2885,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2886,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2894,+,-,+,path[++i],,,20.0,i
preIncr,mingw.c,2896,+,-,+,path[++i],,,15.0,i
preIncr,mingw.c,2898,+,-,+,path[++i],,,16.0,i
preIncr,mingw.c,2919,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2920,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2921,+,-,+,path[++i],,,24.0,i
preIncr,mingw.c,2925,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2926,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2932,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2933,+,-,+,path[++i],,,21.0,i
preIncr,mingw.c,2950,+,-,+,path[++i],,,18.0,i
preIncr,mv.c,197,+,+,+,--argc < 1,6.0,	if (--argc < 1),7.0,argc
preIncr,mv.c,429,+,+,+,--argc > 0,7.0,		if (--argc > 0) {,8.0,argc
preIncr,name-hash.c,106,+,+,+,!(--dir->nr),18.0,	while (dir && !(--dir->nr)) {,19.0,dir -> nr
preIncr,name-rev.c,250,+,+,+,parents_to_queue[--parents_to_queue_nr],29.0,				       parents_to_queue[--parents_to_queue_nr]);,30.0,parents_to_queue_nr
